"Player Name"
"AB de Villiers"
"Aakash Chopra"
"Aaron Hardie"
"Abdul Samad"
"Abhinav Manohar"
"Abhinav Mukund"
"Abhishek Nayar"
"Abhishek Sharma"
"Abishek Porel"
"Adam Gilchrist"
"Adam Zampa"
"Adil Rashid"
"Aditya Tare"
"Aiden Markram"
"Ajantha Mendis"
"Ajit Agarkar"
"Akash Deep"
"Akash Madhwal"
"Akeal Hosein"
"Akshdeep Nath"
"Albie Morkel"
"Alex Hales"
"Alzarri Joseph"
"Aman Khan"
"Ambati Rayudu"
"Amit Mishra"
"Andre Russell"
"Andrew Tye"
"Angelo Mathews"
"Angkrish Raghuvanshi"
"Anil Kumble"
"Ankit Sharma"
"Anmolpreet Singh"
"Anrich Nortje"
"Anuj Rawat"
"Anukul Roy"
"Anureet Singh"
"Arjun Tendulkar"
"Arshad Khan"
"Arshdeep Singh"
"Aryan Juyal"
"Ashish Nehra"
"Ashok Dinda"
"Ashton Agar"
"Ashutosh Sharma"
"Atharva Taide"
"Avanish Rao Aravelly"
"Avesh Khan"
"Axar Patel"
"Ayush Badoni"
"Azmatullah Omarzai"
"BR Sharath"
"Baba Aparajith"
"Baba Indrajith"
"Baltej Singh"
"Barinder Sran"
"Basil Thampi"
"Ben Cutting"
"Ben Stokes"
"Bhanuka Rajapaksa"
"Bhuvneshwar Kumar"
"Bipin Saurabh"
"Bipul Sharma"
"Brad Hodge"
"Brad Hogg"
"Brendon McCullum"
"CM Gautam"
"Cameron Green"
"Carlos Brathwaite"
"Chama Milind"
"Charith Asalanka"
"Chetan Sakariya"
"Chris Gayle"
"Chris Lynn"
"Chris Morris"
"Chris Woakes"
"Colin Munro"
"Colin de Grandhomme"
"Corey Anderson"
"Dale Steyn"
"Daniel Christian"
"Daniel Vettori"
"Darren Sammy"
"Darshan Nalkande"
"Daryl Mitchell"
"Dasun Shanaka"
"David Hussey"
"David Miller"
"David Warner"
"Dawid Malan"
"Deepak Chahar"
"Deepak Hooda"
"Devdutt Padikkal"
"Devon Conway"
"Dewald Brevis"
"Dhawal Kulkarni"
"Dhruv Jurel"
"Dilshan Madushanka"
"Dinesh Karthik"
"Dirk Nannes"
"Donovan Ferreira"
"Doug Bollinger"
"Duan Jansen"
"Dushmantha Chameera"
"Dwayne Bravo"
"Dwayne Smith"
"Eoin Morgan"
"Evin Lewis"
"Faf du Plessis"
"Fazalhaq Farooqi"
"G Ajitesh"
"Gautam Gambhir"
"George Bailey"
"Gerald Coetzee"
"Glenn Maxwell"
