"Player Name",Role,Nationality,"Base Price (CR)","Rating (Out of 10)","Matches Played","Total Runs","Total Wickets"
"AB de Villiers",Batsman,Overseas,2.0,9.8,184,5162,0
"Lasith Malinga",Bowler,Overseas,2.0,9.6,122,88,170
"Chris Gayle",Batsman,Overseas,2.0,9.5,142,4965,18
"Jasprit Bumrah",Bowler,Indian,2.0,9.5,130,80,170
"Virat Kohli",Batsman,Indian,2.0,9.5,250,8000,4
"Dale Steyn",Bowler,Overseas,2.0,9.4,95,166,97
"Virender Sehwag",Batsman,Indian,2.0,9.3,104,2728,6
"Adam Gilchrist",Wicket-Keeper,Overseas,2.0,9.2,80,2069,0
"Muttiah Muralitharan",Bowler,Overseas,2.0,9.2,66,24,63
"Anil Kumble",Bowler,Indian,2.0,9.1,42,35,45
"Jacques Kallis",All-Rounder,Overseas,2.0,9.1,98,2427,65
"Brendon McCullum",Wicket-Keeper,Overseas,2.0,9.0,109,2880,0
"Charith Asalanka",All-Rounder,Overseas,0.5,9.0,35,935,89
"Harbhajan Singh",Bowler,Indian,2.0,9.0,163,833,150
"MS Dhoni",Wicket-Keeper,Indian,2.0,9.0,270,5200,0
"Rashid Khan",Bowler,Overseas,2.0,9.0,110,450,130
"Ravindra Jadeja",All-Rounder,Indian,2.0,9.0,230,2700,160
"Rohit Sharma",Batsman,Indian,2.0,9.0,250,6500,15
"Sachin Tendulkar",Batsman,Indian,2.0,9.0,78,2334,0
"Suresh Raina",Batsman,Indian,2.0,9.0,205,5528,25
"Zaheer Khan",Bowler,Indian,2.0,9.0,100,117,102
"Azmatullah Omarzai",All-Rounder,Overseas,1.5,8.9,145,1855,59
"Ben Stokes",All-Rounder,Overseas,2.0,8.9,110,2159,78
"Chris Morris",All-Rounder,Overseas,2.0,8.9,81,618,95
"Kumar Kushagra",All-Rounder,Indian,2.0,8.9,49,1332,10
"Matthew Hayden",Batsman,Overseas,2.0,8.9,32,1107,0
"Michael Hussey",Batsman,Overseas,2.0,8.9,59,1977,0
"Shahbaz Ahmed",All-Rounder,Indian,1.5,8.9,132,945,88
"Kieron Pollard",All-Rounder,Overseas,2.0,8.8,189,3412,69
"Shashank Singh",All-Rounder,Indian,1.0,8.8,101,801,10
"Shaun Marsh",Batsman,Overseas,2.0,8.8,71,2477,0
"Bhanuka Rajapaksa",All-Rounder,Overseas,2.0,8.7,97,558,56
"Mohammad Nabi",All-Rounder,Overseas,1.0,8.6,132,1466,98
"Shakib Al Hasan",All-Rounder,Overseas,2.0,8.6,106,756,49
"Andre Russell",All-Rounder,Overseas,2.0,8.5,110,2200,90
"Ashton Agar",All-Rounder,Overseas,1.0,8.5,34,483,52
"Dasun Shanaka",All-Rounder,Overseas,1.0,8.5,148,1735,44
"Hardik Pandya",All-Rounder,Indian,2.0,8.5,120,2200,55
"Jofra Archer",Bowler,Overseas,2.0,8.5,40,195,48
"Jos Buttler",Wicket-Keeper,Overseas,2.0,8.5,90,3200,0
"KL Rahul",Wicket-Keeper,Indian,2.0,8.5,120,4600,0
"Kagiso Rabada",Bowler,Overseas,1.5,8.5,60,120,80
"Kamlesh Nagarkoti",Batsman,Indian,1.0,8.5,127,2539,4
"Matheesha Pathirana",Bowler,Overseas,1.0,8.5,20,0,34
"Mohammed Shami",Bowler,Indian,1.5,8.5,100,95,110
"Nicholas Pooran",Wicket-Keeper,Overseas,2.0,8.5,75,1769,0
"Rishabh Pant",Wicket-Keeper,Indian,2.0,8.5,110,3500,0
"Shane Watson",All-Rounder,Overseas,1.5,8.5,145,3874,92
"Shikhar Dhawan",Batsman,Indian,1.5,8.5,217,6617,4
"Shubman Gill",Batsman,Indian,2.0,8.5,80,2800,0
"Suryakumar Yadav",Batsman,Indian,2.0,8.5,100,2800,0
"Yuvraj Singh",All-Rounder,Indian,2.0,8.5,132,2750,36
"Yuzvendra Chahal",Bowler,Indian,1.5,8.5,150,35,190
"Adil Rashid",Bowler,Overseas,0.5,8.4,120,239,23
"Vishnu Vinod",Bowler,Indian,1.5,8.4,73,19,127
"Will Jacks",All-Rounder,Overseas,0.5,8.4,44,874,53
"Josh Inglis",Wicket-Keeper,Overseas,2.0,8.3,15,1016,0
"Riley Meredith",Bowler,Overseas,1.0,8.3,16,50,22
"Riyan Parag",Batsman,Indian,2.0,8.3,43,1127,2
"Jhye Richardson",Bowler,Overseas,1.0,8.2,58,140,13
"Kane Williamson",Batsman,Overseas,0.5,8.2,147,1397,4
"Mitchell Santner",All-Rounder,Overseas,1.5,8.2,123,1376,68
"Raj Angad Bawa",All-Rounder,Indian,1.5,8.2,47,734,25
"Tim Southee",Bowler,Overseas,0.5,8.2,95,59,146
"David Miller",Batsman,Overseas,1.0,8.1,104,1961,4
"Luke Wood",Bowler,Overseas,1.0,8.1,12,221,58
"Michael Bracewell",All-Rounder,Overseas,1.5,8.1,13,473,39
"Nathan Ellis",Bowler,Overseas,0.5,8.1,10,238,24
"Romario Shepherd",Batsman,Overseas,1.0,8.1,13,1637,0
"Shahrukh Khan",All-Rounder,Indian,1.0,8.1,57,459,49
"Daryl Mitchell",Batsman,Overseas,2.0,8.0,120,3329,1
"David Warner",Batsman,Overseas,1.5,8.0,180,6500,0
"Faf du Plessis",Batsman,Overseas,1.5,8.0,120,3800,0
"Gautam Gambhir",Batsman,Indian,1.5,8.0,154,4217,0
"Glenn Maxwell",All-Rounder,Overseas,2.0,8.0,110,2500,30
"Heinrich Klaasen",Wicket-Keeper,Overseas,1.5,8.0,25,800,0
"Jake Fraser-McGurk",Batsman,Overseas,0.5,8.0,9,330,0
"Mitchell Starc",Bowler,Overseas,2.0,8.0,30,100,35
"Pat Cummins",Bowler,Overseas,2.0,8.0,50,400,55
"Quinton de Kock",Wicket-Keeper,Overseas,1.5,8.0,100,3000,0
"Sam Curran",All-Rounder,Overseas,1.5,8.0,40,500,40
"Shivam Dube",All-Rounder,Indian,1.0,8.0,65,1378,4
"Shreyas Iyer",Batsman,Indian,1.5,8.0,115,3127,0
"Sunil Narine",All-Rounder,Overseas,1.5,8.0,170,1500,175
"Travis Head",Batsman,Overseas,1.5,8.0,20,600,2
"Trent Boult",Bowler,Overseas,1.5,8.0,80,40,100
"Tristan Stubbs",Wicket-Keeper,Overseas,1.0,8.0,18,405,0
"Vidwath Kaverappa",Bowler,Indian,1.5,8.0,16,31,56
"Akeal Hosein",Batsman,Overseas,2.0,7.9,135,1395,3
"Amit Mishra",Bowler,Indian,1.0,7.9,91,495,113
"Deepak Hooda",All-Rounder,Indian,1.5,7.9,107,453,31
"Jason Holder",All-Rounder,Overseas,1.5,7.9,91,1688,42
"Kusal Mendis",Wicket-Keeper,Overseas,2.0,7.9,136,950,0
"Manish Pandey",All-Rounder,Indian,1.5,7.9,114,1588,49
"Naman Dhir",All-Rounder,Indian,1.5,7.9,37,668,18
"Spencer Johnson",Bowler,Overseas,1.0,7.9,22,30,72
"Aaron Hardie",All-Rounder,Overseas,2.0,7.8,11,740,33
"Harpreet Brar",Batsman,Indian,0.5,7.8,70,1378,1
"Nitish Kumar Reddy",All-Rounder,Indian,0.5,7.8,12,1169,58
"Ricky Bhui",Batsman,Indian,1.0,7.8,70,333,5
"Taskin Ahmed",All-Rounder,Indian,1.5,7.8,66,1566,25
"Yash Dhull",Batsman,Indian,1.5,7.8,16,1869,0
"Alzarri Joseph",Bowler,Overseas,1.5,7.7,28,83,115
"Arshad Khan",All-Rounder,Indian,0.5,7.7,9,242,22
"Ashutosh Sharma",Bowler,Indian,0.5,7.7,16,476,57
"Donovan Ferreira",All-Rounder,Overseas,1.0,7.7,122,331,22
"Matt Short",All-Rounder,Overseas,0.5,7.7,50,427,21
"Rovman Powell",Bowler,Overseas,0.5,7.7,80,349,119
"Tabraiz Shamsi",Batsman,Overseas,1.5,7.7,98,796,5
"Akash Deep",Bowler,Indian,1.0,7.6,8,147,55
"Angkrish Raghuvanshi",Batsman,Indian,0.5,7.6,48,1945,0
"Navdeep Saini",All-Rounder,Indian,1.0,7.6,65,461,83
"Piyush Chawla",Bowler,Indian,0.5,7.6,73,133,48
"Rasikh Salam",Bowler,Indian,1.5,7.6,34,11,31
"Shamar Joseph",Bowler,Overseas,1.5,7.6,40,55,13
"Aman Khan",Batsman,Indian,0.5,7.5,10,200,0
"Anmolpreet Singh",Batsman,Indian,0.5,7.5,10,200,0
"Anrich Nortje",Bowler,Overseas,1.0,7.5,45,50,55
"Arshdeep Singh",Bowler,Indian,1.0,7.5,50,20,60
"Aryan Juyal",Batsman,Indian,0.5,7.5,10,200,0
"Avanish Rao Aravelly",Batsman,Indian,0.5,7.5,10,200,0
"Axar Patel",All-Rounder,Indian,1.5,7.5,90,1200,70
"BR Sharath",Batsman,Indian,0.5,7.5,10,200,0
"Bhuvneshwar Kumar",Bowler,Indian,1.5,7.5,160,300,170
"Bipin Saurabh",Batsman,Indian,0.5,7.5,10,200,0
"Cameron Green",All-Rounder,Overseas,2.0,7.5,20,500,10
"G Ajitesh",Batsman,Indian,0.5,7.5,10,200,0
"Gerald Coetzee",Bowler,Overseas,1.0,7.5,10,14,13
"Gourav Choudhary",Batsman,Indian,0.5,7.5,10,200,0
"Harpreet Singh Bhatia",Batsman,Indian,0.5,7.5,10,200,0
"Harvik Desai",Batsman,Indian,0.5,7.5,10,200,0
"Josh Hazlewood",Bowler,Overseas,1.5,7.5,30,25,38
"Keshav Maharaj",Batsman,Overseas,2.0,7.5,109,3464,5
"Kuldeep Yadav",Bowler,Indian,1.0,7.5,75,150,85
"Lalit Yadav",Batsman,Indian,0.5,7.5,10,200,0
"Liam Livingstone",All-Rounder,Overseas,1.5,7.5,35,900,10
"Litton Das",Wicket-Keeper,Overseas,0.5,7.5,35,1429,0
"Luvnith Sisodia",Batsman,Indian,0.5,7.5,10,200,0
"Marcus Stoinis",All-Rounder,Overseas,1.5,7.5,60,1300,20
"Mayank Yadav",Bowler,Indian,0.2,7.5,3,0,7
"Mitchell Marsh",All-Rounder,Overseas,1.5,7.5,40,700,38
"Mohammed Siraj",Bowler,Indian,1.0,7.5,70,50,80
"Noor Ahmad",Bowler,Overseas,1.5,7.5,75,445,123
"Pravin Dubey",Batsman,Indian,0.5,7.5,10,200,0
"Priyam Garg",Batsman,Indian,0.5,7.5,10,200,0
"Rajat Patidar",Batsman,Indian,0.5,7.5,27,799,0
"Ravichandran Ashwin",Bowler,Indian,1.5,7.5,200,750,175
"Rinku Singh",Batsman,Indian,0.5,7.5,40,950,0
"Ruturaj Gaikwad",Batsman,Indian,1.0,7.5,60,2000,0
"Sanju Samson",Wicket-Keeper,Indian,1.5,7.5,160,4200,0
"Sanvir Singh",Batsman,Indian,0.5,7.5,10,200,0
"Saurav Chauhan",Batsman,Indian,0.5,7.5,10,200,0
"Swastik Chikara",Batsman,Indian,0.5,7.5,10,200,0
"Tilak Varma",Batsman,Indian,0.5,7.5,35,1100,2
"Tim David",Batsman,Overseas,1.5,7.5,38,659,0
"Urvil Patel",Batsman,Indian,0.5,7.5,10,200,0
"Yashasvi Jaiswal",Batsman,Indian,1.0,7.5,45,1400,0
"Abishek Porel",Wicket-Keeper,Indian,1.0,7.4,53,2324,0
"Dewald Brevis",Batsman,Overseas,2.0,7.4,71,3400,4
"Kyle Mayers",All-Rounder,Overseas,0.5,7.4,67,1966,51
"Rahmanullah Gurbaz",Wicket-Keeper,Overseas,1.0,7.4,19,1802,0
"Ravi Bishnoi",Bowler,Indian,1.0,7.4,68,75,28
"Sherfane Rutherford",Batsman,Overseas,0.5,7.4,16,3602,2
"Devon Conway",Bowler,Overseas,1.5,7.3,19,457,147
"Duan Jansen",Bowler,Overseas,1.5,7.3,108,264,66
"Gulbadin Naib",Batsman,Overseas,1.5,7.3,144,967,5
"Jason Roy",Bowler,Overseas,1.5,7.3,14,326,61
"Lockie Ferguson",Bowler,Overseas,2.0,7.3,59,234,137
"Mark Wood",Bowler,Overseas,2.0,7.3,115,287,16
"Sheldon Jackson",Bowler,Indian,0.5,7.3,90,376,106
"Abdul Samad",Batsman,Indian,0.5,7.2,68,956,5
"Kumar Kartikeya",Bowler,Indian,1.0,7.2,20,112,39
"Kyle Jamieson",Bowler,Overseas,1.0,7.2,16,61,26
"Lance Morris",Bowler,Overseas,2.0,7.2,59,144,26
"Mohsin Khan",Bowler,Indian,0.5,7.2,5,151,27
"Narayan Jagadeesan",Wicket-Keeper,Indian,1.5,7.2,123,576,0
"Shivalik Sharma",Batsman,Indian,1.0,7.2,42,1301,0
"Siddarth Kaul",Bowler,Indian,2.0,7.2,60,191,20
"Suyash Prabhudessai",Batsman,Indian,1.5,7.2,43,903,0
"Upendra Yadav",Batsman,Indian,1.5,7.2,74,1031,4
"Arjun Tendulkar",Bowler,Indian,1.5,7.1,13,222,79
"Darshan Nalkande",Bowler,Indian,1.0,7.1,58,133,70
"Moeen Ali",All-Rounder,Overseas,1.5,7.1,45,1448,67
"Nandre Burger",All-Rounder,Overseas,1.0,7.1,131,1655,24
"R. Sai Kishore",Bowler,Indian,0.5,7.1,38,41,24
"Rassie van der Dussen",Batsman,Overseas,2.0,7.1,51,2245,2
"Sam Billings",Wicket-Keeper,Overseas,1.5,7.1,132,3079,0
"Sameer Rizvi",Bowler,Indian,1.0,7.1,99,137,95
"Abhishek Sharma",Batsman,Indian,0.5,7.0,50,1200,10
"Adam Zampa",Bowler,Overseas,1.0,7.0,20,15,30
"Dinesh Karthik",Wicket-Keeper,Indian,0.75,7.0,250,4800,0
