"Player Name",Role,Nationality,"Base Price (CR)","Matches Played","Total Runs","Total Wickets"
"Reece Topley",Batsman,Overseas,1.0,31,2982,4
"Virat Kohli",Batsman,Indian,2.0,277,18692,8
"David Miller",Batsman,Overseas,1.0,104,1961,4
"Rahmanullah Gurbaz",Wicket-Keeper,Overseas,1.0,19,726,0
"Ish Sodhi",Batsman,Overseas,2.0,82,1084,2
"Suyash Sharma",Bowler,Indian,0.2,40,0,54
"Shane Watson",All-Rounder,Overseas,1.5,145,3874,92
"Maheesh Theekshana",Bowler,Overseas,1.5,39,34,72
"Faf du Plessis",Batsman,Overseas,1.5,120,3800,0
"Mukesh Kumar",Bowler,Indian,0.5,43,20,84
"Saurabh Tiwary",Batsman,Indian,0.5,113,1228,0
"Martin Guptill",Bowler,Overseas,1.5,112,152,132
"Rovman Powell",Bowler,Overseas,0.5,31,1110,2
"Ramandeep Singh",All-Rounder,Indian,0.2,28,598,14
"Shamar Joseph",Bowler,Overseas,1.5,2,0,0
"Brad Hodge",Batsman,Overseas,2.0,69,2413,0
"Akshdeep Nath",Batsman,Indian,1.0,35,1817,0
"Trent Boult",Bowler,Overseas,1.5,80,40,100
"Mustafizur Rahman",Bowler,Overseas,1.0,61,26,130
"Aaron Hardie",All-Rounder,Overseas,2.0,11,740,33
"Tim David",Batsman,Overseas,1.5,38,659,0
"Vivrant Sharma",All-Rounder,Indian,0.2,3,138,0
"Sean Abbott",Bowler,Overseas,0.5,65,109,103
"Venkatesh Iyer",All-Rounder,Indian,0.5,40,1100,3
"Shreyas Iyer",Batsman,Indian,1.5,115,3127,0
"Shoriful Islam",Batsman,Overseas,1.5,136,452,4
"Lungi Ngidi",Bowler,Overseas,1.5,28,8,84
"Sachin Baby",Batsman,Indian,2.0,14,288,4
"AB de Villiers",Batsman,Overseas,2.0,171,10362,0
"Shimron Hetmyer",Bowler,Overseas,1.0,125,130,68
"Kieron Pollard",All-Rounder,Overseas,2.0,189,3412,69
"Arjun Tendulkar",Bowler,Indian,1.5,7,36,8
"Washington Sundar",All-Rounder,Indian,1.0,82,1776,80
"Mohammed Siraj",Bowler,Indian,1.0,126,234,256
"Angkrish Raghuvanshi",Batsman,Indian,0.5,31,1770,0
"Gerald Coetzee",Bowler,Overseas,1.0,15,62,30
"Hashim Amla",Batsman,Overseas,1.5,75,2019,0
"Quinton de Kock",Wicket-Keeper,Overseas,1.5,100,3000,0
"Kumar Kushagra",All-Rounder,Indian,2.0,5,42,0
"Ravindra Jadeja",All-Rounder,Indian,2.0,230,2700,160
"Alex Hales",Bowler,Overseas,2.0,34,416,113
"George Bailey",Batsman,Overseas,2.0,74,3126,0
"Josh Hazlewood",Bowler,Overseas,1.5,30,25,38
"BR Sharath",Batsman,Indian,0.5,2,4,0
"Mohammad Kaif",Batsman,Indian,1.0,23,518,0
"Ravichandran Ashwin",Bowler,Indian,1.5,218,1666,374
"Varun Aaron",Bowler,Indian,2.0,85,181,32
