AB de Villiers
Aaron Hardie
Abdul Samad
Abhinav Manohar
Abhishek Sharma
Abishek Porel
Adam Gilchrist
Adam Zampa
Adil Rashid
Aiden Markram
Akash Deep
Akash Madhwal
Akeal Hosein
Alex Hales
Alzarri Joseph
Aman Khan
Ambati Rayudu
Amit Mishra
Andre Russell
Angkrish Raghuvanshi
Anil Kumble
Anmolpreet Singh
Anrich Nortje
Anuj Rawat
Arjun Tendulkar
Arshad Khan
Arshdeep Singh
Aryan Juyal
Ashton Agar
Ashutosh Sharma
Avanish Rao Aravelly
Avesh Khan
Axar Patel
Ayush Badoni
Azmatullah Omarzai
BR Sharath
Ben Stokes
Bhanuka Rajapaksa
Bhuvneshwar Kumar
Bipin Saurabh
Brendon McCullum
Cameron Green
Charith Asalanka
Chetan Sakariya
Chris Gayle
Chris Morris
Chris Woakes
Colin Munro
Dale Steyn
Darshan Nalkande
Daryl Mitchell
Dasun Shanaka
David Miller
David Warner
Dawid Malan
Deepak Chahar
Deepak Hooda
Devdutt Padikkal
Devon Conway
Dewald Brevis
Dhruv Jurel
Dilshan Madushanka
Dinesh Karthik
Donovan Ferreira
Duan Jansen
Dushmantha Chameera
Eoin Morgan
Faf du Plessis
Fazalhaq Farooqi
G Ajitesh
Gautam Gambhir
Gerald Coetzee
Glenn Maxwell
Glenn Phillips
Gourav Choudhary
Gulbadin Naib
Harbhajan Singh
Hardik Pandya
Harpreet Brar
Harpreet Singh Bhatia
Harshal Patel
Harshit Rana
Harvik Desai
Heinrich Klaasen
Hrithik Shokeen
Ish Sodhi
Ishan Kishan
Ishant Sharma
Jacques Kallis
Jake Fraser-McGurk
Jason Holder
Jason Roy
Jasprit Bumrah
Jaydev Unadkat
Jhye Richardson
Jitesh Sharma
Joe Root
Jofra Archer
Jos Buttler
Josh Hazlewood
Josh Inglis
KL Rahul
KS Bharat
Kagiso Rabada
Kamlesh Nagarkoti
Kane Williamson
Karn Sharma
Kartik Tyagi
Kedar Jadhav
Keshav Maharaj
Khaleel Ahmed
Kieron Pollard
Krunal Pandya
Kuldeep Yadav
Kumar Kartikeya
Kumar Kushagra
Kusal Mendis
Kwena Maphaka
Kyle Jamieson
Kyle Mayers
Lalit Yadav
Lance Morris
Lasith Malinga
Liam Livingstone
Liam Plunkett
Litton Das
Lockie Ferguson
Luke Wood
Lungi Ngidi
Luvnith Sisodia
MS Dhoni
Maheesh Theekshana
Mahipal Lomror
Manish Pandey
Marco Jansen
Marcus Stoinis
Mark Wood
Martin Guptill
Matheesha Pathirana
Matt Henry
Matt Short
Matthew Hayden
Mayank Dagar
Mayank Markande
Mayank Yadav
Michael Bracewell
Michael Hussey
Mitchell Marsh
Mitchell Santner
Mitchell Starc
Moeen Ali
Mohammad Nabi
Mohammed Shami
Mohammed Siraj
Mohit Sharma
Mohsin Khan
Mujeeb Ur Rahman
Mukesh Kumar
Mustafizur Rahman
Muttiah Muralitharan
N. Jagadeesan
Naman Dhir
Nandre Burger
Narayan Jagadeesan
Nathan Ellis
Navdeep Saini
Naveen-ul-Haq
Nehal Wadhera
Nicholas Pooran
Nitish Kumar Reddy
Nitish Rana
Noor Ahmad
Nuwan Thushara
Obed McCoy
Odean Smith
Pat Cummins
Phil Salt
Piyush Chawla
Prabhsimran Singh
Pravin Dubey
Prerak Mankad
Prithvi Shaw
Priyam Garg
Quinton de Kock
R. Sai Kishore
Rachin Ravindra
Rahmanullah Gurbaz
Rahul Chahar
Rahul Tewatia
Rahul Tripathi
Raj Angad Bawa
Rajat Patidar
Ramandeep Singh
Rashid Khan
Rasikh Salam
Rassie van der Dussen
Ravi Bishnoi
Ravichandran Ashwin
Ravindra Jadeja
Reece Topley
Ricky Bhui
Riley Meredith
Rinku Singh
Rishabh Pant
Riyan Parag
Robin Uthappa
Rohit Sharma
Romario Shepherd
Rovman Powell
Ruturaj Gaikwad
Sachin Tendulkar
Sai Sudharsan
Sam Billings
Sam Curran
Sameer Rizvi
Sandeep Sharma
Sanju Samson
Sanvir Singh
Saurav Chauhan
Shahbaz Ahmed
Shahrukh Khan
Shakib Al Hasan
Shamar Joseph
Shane Watson
Shardul Thakur
Shashank Singh
Shaun Marsh
Sheldon Jackson
Sherfane Rutherford
Shikhar Dhawan
Shimron Hetmyer
Shivalik Sharma
Shivam Dube
Shivam Mavi
Shoriful Islam
Shreyas Gopal
Shreyas Iyer
Shubman Gill
Siddarth Kaul
Spencer Johnson
Srikar Bharat
Sunil Narine
Suresh Raina
Suryakumar Yadav
Suyash Prabhudessai
Suyash Sharma
Swastik Chikara
T Natarajan
Tabraiz Shamsi
Taskin Ahmed
Tilak Varma
Tim David
Tim Southee
Tom Curran
Travis Head
Trent Boult
Tristan Stubbs
Tushar Deshpande
Umesh Yadav
Umran Malik
Upendra Yadav
Urvil Patel
Vaibhav Arora
Venkatesh Iyer
Vicky Ostwal
Vidwath Kaverappa
Virat Kohli
Virender Sehwag
Vishnu Vinod
Vivrant Sharma
Wanindu Hasaranga
Washington Sundar
Wayne Parnell
Will Jacks
Yash Dhull
Yash Thakur
Yashasvi Jaiswal
Yuvraj Singh
Yuzvendra Chahal
Zaheer Khan
